customer_id,customer_name,email,phone,pan,aadhaar,salary,city
1,Ansh Dutta,zsethi@example.net,6797806610,ROGRK6967D,161693537719,1552809,Panvel
2,Qabil Dora,ichokshi@example.org,2730572776,APQJS3596T,481759356204,2158766,Jamnagar
3,Yuvraj Puri,lbrahmbhatt@example.net,5965776098,IBPQX2342Q,601094847169,1420300,Naihati
4,Charvi Hayre,isaactaneja@example.org,6137527611,VESHI1635M,482543304844,1777677,Rewa
5,Alka Garde,ktella@example.org,2995655202,MMDJO1686W,276439617022,495207,Parbhani
6,Barkha Dugar,shankarmadhav@example.com,0528032878,ZNAKM5308W,649429217738,1107770,Indore
7,Jatin Buch,gautam02@example.org,1407776819,CWTOZ1389T,824641090237,2143579,Gangtok
8,Harinakshi Iyengar,harsh75@example.net,3894375012,FSCHV9743M,490943340751,969716,Ballia
9,Aadhya Manne,ymorar@example.com,5473628134,ADQTA4770Q,388261224989,906811,South Dumdum
10,Christopher Comar,sethifitan@example.org,3856273396,WXMDT7465F,369789900058,2128645,Morena
11,Yachana Nadkarni,warjas61@example.org,2031491833,VXWZJ9357R,626836155229,1636513,Amritsar
12,Dhriti Dhingra,dhawanreva@example.com,3406547424,YHISR2955A,161661539634,1774279,Chandigarh
13,Orinder Natt,ishanvirama@example.org,4979672452,QDKWC8852P,500906006519,823979,Kavali
14,Maanas Rana,rsom@example.net,5653204755,XSCHE3768L,821194390361,2073142,Thiruvananthapuram
15,Mekhala Hans,handalibni@example.net,3053514575,WGFCH7258Y,301493071292,592779,Ranchi
16,Harsh Dua,gagan69@example.org,4086551081,SAFDY8390Y,496035665825,1155901,Bhiwandi
17,Yauvani Gade,lsagar@example.com,4684926648,LMCEC7073I,979178530249,1480810,Raipur
18,Watika Pant,prabhakarpatrick@example.org,9457135594,XKDES9679F,625288121282,442824,Bhatpara
19,Chavvi Pandit,ramakrishnanbhanumati@example.net,1974608825,QQRRY1649M,700254990437,1052133,Rajpur Sonarpur
20,Chandresh Balay,nathan80@example.com,3920872938,RJWBL1969S,875020868419,848110,Madhyamgram
21,Jagat Dar,viraj31@example.org,1439600579,AFKFL3341G,744860566376,2465391,Vasai-Virar
22,Ubika Sahota,matthewprabhakar@example.org,0128239580,CJPIN3364M,307772993571,1455476,Vadodara
23,Aayush Ahluwalia,kalabhavika@example.com,1340293557,DAKMQ3191J,956509352908,758817,Aurangabad
24,Udant Amble,stripathi@example.org,5999473479,QCAPJ2899D,151779095390,2148821,Karnal
